ID,Site,Stratigraphic_unit,Raw_material,Class,Blank,Technology,Core_classification,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,File_list,Model_unit,#_of_polygons,Avg_edge_length(mm)/Resolution,Resolution_score,Scanner,Scan_software,Postprocessing_software,Coating
RF.b_10019,Fumane,D3d.base,Maiolica,Tool,Bladelet,Optimal,NA,0%,Complete,92.3001709,175.1875123,16.7,5.1,1.5,RF.b_10019.ply,1 unit = 1mm,16264,0.167,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10034,Fumane,D3d,Maiolica,Tool,Bladelet,Optimal,NA,0%,Complete,72.37731934,165.7926894,18.7,4.9,1.4,RF.b_10034.ply,1 unit = 1mm,15116,0.168252,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10047,Fumane,D3d.base,Maiolica,Tool,Bladelet,Optimal,NA,0%,Complete,132.8534393,281.5067658,25.9,5.7,1.6,RF.b_10047.ply,1 unit = 1mm,26330,0.166494,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10059,Fumane,D3b,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,45.40675735,145.6971423,20.3,3.7,0.5,RF.b_10059.ply,1 unit = 1mm,12206,0.176029,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10064,Fumane,D3d.base,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,204.2626648,383.0916002,32.5,7.3,1.9,RF.b_10064.ply,1 unit = 1mm,35298,0.167301,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10067,Fumane,D3d.base,Maiolica,Blank,Bladelet,Maintenance,NA,1-33%,Complete,328.2554016,485.290734,29.3,9.5,3.1,RF.b_10067.ply,1 unit = 1mm,41082,0.174183,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10070,Fumane,D3b.alpha,Maiolica,Blank,Blade,Maintenance,NA,1-33%,Distal,1187.195313,1081.947396,39.4,13.4,4.6,RF.b_10070.ply,1 unit = 1mm,262334,0.103599,Detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10205,Fumane,D1,Maiolica,Blank,Flake,Maintenance,NA,0%,Proximal,15357.49316,4607.663784,NA,40,12.60000038,RF.b_10205.ply,1 unit = 1mm,139414,0.298626,Low-detail,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10273,Fumane,D1d,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,930.5310669,1021.832951,52.5,10.69999981,4.5,RF.b_10273.ply,1 unit = 1mm,30664,0.298399,Low-detail,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10349,Fumane,A1,Maiolica,Blank,Blade,Semi-cortical,NA,33-66%,Complete,2576.025146,1677.783797,44.8,21,7.1,RF.b_10349.ply,1 unit = 1mm,400000,0.103982,Detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10350,Fumane,A1,Scaglia.Variegata,Blank,Blade,Optimal,NA,0%,Complete,1089.069946,1243.313307,44.6,14.7,4,RF.b_10350.ply,1 unit = 1mm,319650,0.101426,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10351,Fumane,A1,Maiolica,Blank,Blade,Semi-cortical,NA,33-66%,Complete,5755.404297,2951.509157,64.8,24.6,12.3,RF.b_10351.ply,1 unit = 1mm,400000,0.137471,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10352,Fumane,A1,Scaglia.Rossa,Blank,Blade,Semi-cortical,NA,1-33%,Complete,1410.081055,1250.234952,42,15.3,4.4,RF.b_10352.ply,1 unit = 1mm,303436,0.103044,Detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10353,Fumane,A1,Maiolica,Blank,Blade,Optimal,NA,0%,Complete,1318.103271,1163.989052,39.3,17.7,6.7,RF.b_10353.ply,1 unit = 1mm,296228,0.102166,Detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10354,Fumane,A2,Maiolica,Blank,Blade,Maintenance,NA,0%,Complete,9576.226563,4108.412617,76.1,29.2,13.8,RF.b_10354.ply,1 unit = 1mm,1035026,0.102304,Detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10355,Fumane,A2,Maiolica,Blank,Blade,Optimal,NA,0%,Complete,3869.290039,2568.493908,61.4,25.1,8.7,RF.b_10355.ply,1 unit = 1mm,671102,0.101064,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10356,Fumane,A2,Maiolica,Blank,Blade,Optimal,NA,0%,Complete,1122.7052,1234.945808,40.2,16.3,3.8,RF.b_10356.ply,1 unit = 1mm,321278,0.096271,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10357,Fumane,A2,Scaglia.Rossa,Blank,Blade,Semi-cortical,NA,1-33%,Complete,3401.704346,2089.196869,56.3,21.2,9.2,RF.b_10357.ply,1 unit = 1mm,400000,0.113921,Detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10358,Fumane,A2,Scaglia.Variegata,Blank,Blade,Optimal,NA,0%,Complete,1604.740967,1477.682424,49.3,16.9,5.3,RF.b_10358.ply,1 unit = 1mm,395826,0.094793,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10359,Fumane,A2,Maiolica,Blank,Blade,Maintenance,NA,1-33%,Complete,1341.140137,1145.575032,43,14.6,5.1,RF.b_10359.ply,1 unit = 1mm,297878,0.100887,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10360,Fumane,A2,Maiolica,Blank,Blade,Semi-cortical,NA,1-33%,Complete,858.8133545,971.0444089,37,15.5,6,RF.b_10360.ply,1 unit = 1mm,248340,0.102038,Detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10361,Fumane,A2,Maiolica,Blank,Blade,Semi-cortical,NA,1-33%,Complete,4970.542969,3128.680329,67.5,29.6,8.8,RF.b_10361.ply,1 unit = 1mm,400000,0.141246,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10362,Fumane,A2,Maiolica,Blank,Blade,Maintenance,NA,0%,Complete,5799.224121,2959.60195,65.1,21.5,10.9,RF.b_10362.ply,1 unit = 1mm,400000,0.137861,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10363,Fumane,D3d.base,Eocenic,Blank,Blade,Optimal,NA,0%,Complete,1003.856384,1230.362987,48.1,13.2,2.6,RF.b_10363.ply,1 unit = 1mm,115306,0.16624,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10364,Fumane,D3d.base,Maiolica,Blank,Blade,Optimal,NA,0%,Complete,1772.869873,1427.635327,47.5,19.2,6.2,RF.b_10364.ply,1 unit = 1mm,130826,0.167298,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10365,Fumane,A2,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,1319.566528,1251.217355,50.3,11.9,4.3,RF.b_10365.ply,1 unit = 1mm,113954,0.169032,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10366,Fumane,A2,Maiolica,Blank,Blade,Maintenance,NA,1-33%,Complete,1098.866455,1065.406069,46.1,14,4.2,RF.b_10366.ply,1 unit = 1mm,96484,0.16872,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10367,Fumane,A2,Maiolica,Blank,Blade,Maintenance,NA,0%,Complete,605.0528564,872.4444744,36.4,15.8,2.5,RF.b_10367.ply,1 unit = 1mm,83174,0.164733,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10368,Fumane,A1,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,443.2580872,589.7104192,29.5,10.7,2.3,RF.b_10368.ply,1 unit = 1mm,51852,0.171249,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10369,Fumane,A1,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,245.0405273,478.4667358,34,8.3,1.5,RF.b_10369.ply,1 unit = 1mm,44946,0.165389,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10370,Fumane,A1,Maiolica,Blank,Blade,Optimal,NA,0%,Complete,848.0958862,847.0526952,33.3,14.4,4,RF.b_10370.ply,1 unit = 1mm,76182,0.169619,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10371,Fumane,A1,Maiolica,Blank,Blade,Optimal,NA,0%,Complete,1099.308838,818.9513495,33,12.2,7.6,RF.b_10371.ply,1 unit = 1mm,71942,0.171802,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10372,Fumane,A1,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,180.5470276,414.0601186,27.5,7.7,1,RF.b_10372.ply,1 unit = 1mm,39852,0.164059,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10373,Fumane,A1,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,232.5545349,447.3784655,26.5,10.9,1.5,RF.b_10373.ply,1 unit = 1mm,40024,0.169871,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10374,Fumane,A1,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,201.265976,331.8205899,26.1,6.7,2.2,RF.b_10374.ply,1 unit = 1mm,30052,0.169503,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10375,Fumane,D3d.base,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,431.9562988,591.4305192,30,10.6,3,RF.b_10375.ply,1 unit = 1mm,55630,0.165989,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10376,Fumane,D3d.base,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,139.7569733,281.8170157,22.9,6.5,1.5,RF.b_10376.ply,1 unit = 1mm,23714,0.174443,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10377,Fumane,D3b.alpha,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,59.54562759,152.7882871,16.6,5.8,1.3,RF.b_10377.ply,1 unit = 1mm,13924,0.167983,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10378,Fumane,D3b.alpha,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,59.03693008,172.8327951,17.2,6.7,1,RF.b_10378.ply,1 unit = 1mm,15498,0.169632,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10379,Fumane,D3b.alpha,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,111.9147797,213.0983635,16.6,7.8,1.6,RF.b_10379.ply,1 unit = 1mm,18136,0.174594,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10380,Fumane,D3b.alpha,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,86.71055603,209.1651872,16.9,8.5,1.7,RF.b_10380.ply,1 unit = 1mm,18868,0.169329,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10381,Fumane,D3b.alpha,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,68.46522522,138.7034912,13.9,5.5,2,RF.b_10381.ply,1 unit = 1mm,11984,0.173412,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10384,Fumane,D3b,Eocenic,Blank,Blade,Optimal,NA,0%,Complete,1165.296631,948.7219439,38.9,12.2,6.1,RF.b_10384.ply,1 unit = 1mm,83606,0.17119,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10387,Fumane,D3b,Eocenic,Blank,Blade,Optimal,NA,0%,Complete,1174.289917,995.9972042,35.2,14.7,5,RF.b_10387.ply,1 unit = 1mm,90206,0.169091,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10388,Fumane,A2,Eocenic,Blank,Blade,Optimal,NA,0%,Complete,734.767334,817.3861737,33,15,3.3,RF.b_10388.ply,1 unit = 1mm,76202,0.166726,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10391,Fumane,A2,Eocenic,Blank,Bladelet,Optimal,NA,0%,Complete,191.4861603,348.4723492,24.5,8.5,1.9,RF.b_10391.ply,1 unit = 1mm,30930,0.170797,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10397,Fumane,D3b,Eocenic,Blank,Bladelet,Optimal,NA,0%,Complete,112.1357346,221.6558948,17.8,7.3,1.7,RF.b_10397.ply,1 unit = 1mm,19462,0.170348,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_104,Fumane,A2,Scaglia.Variegata,Tool,Blade,Optimal,NA,0%,Complete,2413.969482,2154.538072,60.8,20,4.8,RF.b_104.ply,1 unit = 1mm,400000,0.117866,Detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_10401,Fumane,A2,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,268.3765564,475.5859085,27.3,10.8,2,RF.b_10401.ply,1 unit = 1mm,45182,0.165272,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10402,Fumane,A2,Scaglia.Rossa,Blank,Bladelet,Optimal,NA,0%,Complete,156.0123444,325.8136349,26.9,8.1,1.8,RF.b_10402.ply,1 unit = 1mm,30666,0.165833,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10403,Fumane,A2,Scaglia.Variegata,Blank,Bladelet,Optimal,NA,0%,Complete,479.2251892,564.4984007,27.2,11.2,3.3,RF.b_10403.ply,1 unit = 1mm,52608,0.166979,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10404,Fumane,A2,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,190.7440491,422.7728263,30.5,9,1.5,RF.b_10404.ply,1 unit = 1mm,40990,0.163456,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10405,Fumane,A2,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,336.6722107,399.5227905,23.5,9.6,4.5,RF.b_10405.ply,1 unit = 1mm,36172,0.168708,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10406,Fumane,A2,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,169.2677002,281.2140242,20.5,7.2,3.1,RF.b_10406.ply,1 unit = 1mm,25518,0.168524,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10407,Fumane,A2,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,78.85507202,194.7787924,19,6.2,1.2,RF.b_10407.ply,1 unit = 1mm,16662,0.173961,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10408,Fumane,A2,Scaglia.Variegata,Blank,Bladelet,Optimal,NA,0%,Complete,487.7371826,508.7727676,24.2,10.1,3.6,RF.b_10408.ply,1 unit = 1mm,46380,0.167605,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10409,Fumane,A2,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,399.3520813,517.9815123,27.3,8.8,1.9,RF.b_10409.ply,1 unit = 1mm,47932,0.166944,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10410,Fumane,A2,Scaglia.Rossa,Blank,Bladelet,Optimal,NA,0%,Complete,107.0862808,278.5948425,18.8,9.3,1.5,RF.b_10410.ply,1 unit = 1mm,26476,0.165207,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10411,Fumane,A2,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,182.6451721,345.338802,21.9,10.8,1.8,RF.b_10411.ply,1 unit = 1mm,33206,0.163962,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10412,Fumane,A2,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,37.51010513,116.0715823,13.8,5.1,1.5,RF.b_10412.ply,1 unit = 1mm,10990,0.165154,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10413,Fumane,A2,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,154.6144714,323.4185685,25.7,7.8,1.7,RF.b_10413.ply,1 unit = 1mm,30248,0.166508,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10414,Fumane,A2,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,173.0577545,370.8320578,30.5,9,1.8,RF.b_10414.ply,1 unit = 1mm,34840,0.165976,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10415,Fumane,A2,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,415.9244385,490.7986267,25.8,10.7,3.4,RF.b_10415.ply,1 unit = 1mm,45836,0.166446,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10416,Fumane,A2,Scaglia.Rossa,Blank,Bladelet,Optimal,NA,0%,Complete,270.45755,545.9430162,34,10.8,1.9,RF.b_10416.ply,1 unit = 1mm,50314,0.167833,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10417,Fumane,A2,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,539.3543701,649.9182571,36.3,8.8,3.6,RF.b_10417.ply,1 unit = 1mm,57548,0.17132,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10418,Fumane,A2,Scaglia.Rossa,Blank,Blade,Semi-cortical,NA,1-33%,Complete,454.4301147,659.4434163,32.6,13.2,2.8,RF.b_10418.ply,1 unit = 1mm,61470,0.166896,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10419,Fumane,A2,Maiolica,Blank,Blade,Optimal,NA,0%,Complete,589.0514526,810.2418514,38.8,12.2,2.3,RF.b_10419.ply,1 unit = 1mm,76484,0.165488,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10420,Fumane,A2,Maiolica,Blank,Blade,Maintenance,NA,1-33%,Complete,824.5078735,764.2157471,36.6,12.2,5.3,RF.b_10420.ply,1 unit = 1mm,69358,0.168608,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10421,Fumane,A2,Scaglia.Rossa,Blank,Blade,Maintenance,NA,0%,Complete,737.9269409,841.9831488,37.1,12.2,4.6,RF.b_10421.ply,1 unit = 1mm,77108,0.167865,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10422,Fumane,A2,Maiolica,Blank,Blade,Optimal,NA,0%,Complete,675.7631226,737.4428248,30.3,14.6,3.8,RF.b_10422.ply,1 unit = 1mm,68406,0.16707,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10423,Fumane,A2,Maiolica,Blank,Blade,Optimal,NA,0%,Complete,541.2739258,721.5580584,30.7,12.7,3.5,RF.b_10423.ply,1 unit = 1mm,66280,0.167813,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10424,Fumane,A2,Maiolica,Blank,Blade,Maintenance,NA,0%,Complete,904.159729,895.3929414,32,16,4.3,RF.b_10424.ply,1 unit = 1mm,82482,0.167496,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10425,Fumane,A2,Maiolica,Blank,Blade,Semi-cortical,NA,1-33%,Complete,1022.005981,887.7465141,33.7,13.7,6,RF.b_10425.ply,1 unit = 1mm,78352,0.170752,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10426,Fumane,A2,Maiolica,Blank,Blade,Optimal,NA,0%,Complete,746.279541,1033.38799,42.7,14.3,2.3,RF.b_10426.ply,1 unit = 1mm,96940,0.166014,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10428,Fumane,A1,Maiolica,Blank,Blade,Initialization,NA,0%,Complete,659.8007813,823.0755454,34.3,16.6,3.2,RF.b_10428.ply,1 unit = 1mm,77610,0.165713,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10429,Fumane,A1,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,93.40045166,235.6897914,23.7,5.5,1.5,RF.b_10429.ply,1 unit = 1mm,22080,0.166622,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10430,Fumane,A1,Scaglia.Variegata,Blank,Bladelet,Optimal,NA,0%,Complete,117.6390228,237.1276956,23.8,5.2,2.2,RF.b_10430.ply,1 unit = 1mm,21156,0.170859,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10431,Fumane,A2,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,131.5700684,264.8902278,22.6,7.3,2.2,RF.b_10431.ply,1 unit = 1mm,24380,0.167978,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10432,Fumane,A1,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,55.07363892,148.6348345,17.4,5.9,1.7,RF.b_10432.ply,1 unit = 1mm,13690,0.167323,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_10433,Fumane,A1,Maiolica,Blank,Bladelet,Semi-cortical,NA,1-33%,Complete,189.8137207,315.9293809,22.5,7.7,2.3,RF.b_10433.ply,1 unit = 1mm,28336,0.169357,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
